iter	Passed	Remaining
0	89	17728
1	131	12972
2	168	11053
3	211	10372
4	248	9679
5	284	9210
6	321	8855
7	358	8606
8	396	8406
9	435	8265
10	474	8157
11	518	8127
12	574	8260
13	622	8270
14	664	8196
15	707	8134
16	741	7982
17	786	7950
18	829	7901
19	868	7816
20	913	7782
21	957	7748
22	1001	7709
23	1043	7655
24	1083	7586
25	1123	7521
26	1164	7463
27	1207	7419
28	1247	7358
29	1290	7310
30	1332	7263
31	1374	7213
32	1420	7187
33	1464	7149
34	1502	7085
35	1538	7008
36	1575	6942
37	1613	6878
38	1651	6819
39	1687	6751
40	1727	6700
41	1765	6639
42	1805	6591
43	1844	6538
44	1885	6493
45	1922	6436
46	1961	6385
47	2001	6337
48	2041	6290
49	2082	6247
50	2118	6189
51	2157	6141
52	2195	6090
53	2234	6041
54	2269	5983
55	2305	5928
56	2338	5867
57	2374	5812
58	2412	5766
59	2450	5718
60	2489	5672
61	2528	5627
62	2569	5588
63	2606	5537
64	2647	5498
65	2686	5454
66	2719	5399
67	2754	5346
68	2796	5309
69	2832	5259
70	2868	5212
71	2904	5163
72	2943	5121
73	2981	5076
74	3019	5033
75	3056	4987
76	3094	4942
77	3133	4901
78	3169	4855
79	3209	4813
80	3245	4768
81	3288	4731
82	3327	4690
83	3363	4645
84	3398	4598
85	3433	4550
86	3471	4509
87	3509	4467
88	3545	4421
89	3588	4385
90	3623	4340
91	3660	4297
92	3695	4251
93	3730	4207
94	3768	4165
95	3815	4133
96	3855	4094
97	3890	4049
98	3929	4008
99	3969	3969
100	4007	3927
101	4043	3885
102	4078	3841
103	4113	3797
104	4148	3753
105	4188	3713
106	4228	3675
107	4269	3636
108	4306	3595
109	4342	3552
110	4379	3511
111	4416	3469
112	4453	3428
113	4488	3386
114	4524	3344
115	4561	3303
116	4594	3259
117	4633	3220
118	4671	3180
119	4716	3144
120	4753	3103
121	4789	3062
122	4834	3026
123	4868	2984
124	4908	2944
125	4951	2908
126	4994	2870
127	5032	2830
128	5076	2793
129	5109	2751
130	5143	2709
131	5181	2669
132	5222	2630
133	5262	2592
134	5299	2551
135	5336	2511
136	5379	2474
137	5415	2432
138	5452	2392
139	5490	2353
140	5531	2314
141	5570	2275
142	5617	2239
143	5656	2199
144	5700	2162
145	5739	2122
146	5781	2084
147	5844	2053
148	5881	2013
149	5917	1972
150	5955	1932
151	5998	1894
152	6042	1856
153	6081	1816
154	6120	1776
155	6155	1736
156	6196	1697
157	6235	1657
158	6282	1619
159	6320	1580
160	6362	1541
161	6407	1502
162	6449	1463
163	6485	1423
164	6524	1383
165	6570	1345
166	6612	1306
167	6654	1267
168	6695	1228
169	6736	1188
170	6777	1149
171	6819	1110
172	6874	1072
173	6913	1032
174	6952	993
175	6998	954
176	7039	914
177	7078	874
178	7112	834
179	7153	794
180	7193	755
181	7234	715
182	7275	675
183	7316	636
184	7357	596
185	7396	556
186	7433	516
187	7475	477
188	7517	437
189	7558	397
190	7598	358
191	7636	318
192	7672	278
193	7709	238
194	7753	198
195	7794	159
196	7836	119
197	7885	79
198	7925	39
199	7970	0
